Nombre,Tipo de recurso,ID del proyecto,Nombre visible,Fecha de creación,Hora de actualización,Estado,Carpetas,Organización,Tipo de recurso superior,Nombre del recurso principal completo,Claves KMS,Etiquetas directas,Descripción,Ubicación,Etiquetas,Etiquetas de red,Atributos adicionales
"//bigquery.googleapis.com/projects/analitica-de-conversaciones/datasets/silver/tables/avlab_silver_table_curated","bigquery.Table","analitica-de-conversaciones","avlab_silver_table_curated","2025-09-25T03:06:58Z","null","","[]","organizations/1074990256431","bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/analitica-de-conversaciones/datasets/silver","[]","[]","","us-central1","{lab:av-laboratorio-arq}","[]","null"
"//bigquery.googleapis.com/projects/analitica-de-conversaciones/datasets/silver","bigquery.Dataset","analitica-de-conversaciones","silver","2025-09-25T03:05:23Z","2025-09-25T03:42:45Z","","[]","organizations/1074990256431","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/analitica-de-conversaciones","[]","[]","","us-central1","{lab:av-laboratorio-arq}","[]","null"
"//storage.googleapis.com/avlab-silver-curated","storage.Bucket","analitica-de-conversaciones","avlab-silver-curated","2025-09-25T02:58:05Z","2025-09-25T02:58:05Z","","[]","organizations/1074990256431","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/analitica-de-conversaciones","[]","[]","","us-central1","{lab:av-laboratorio-arq}","[]","null"
"//storage.googleapis.com/avlab-bronze-raw","storage.Bucket","analitica-de-conversaciones","avlab-bronze-raw","2025-09-25T02:56:51Z","2025-09-25T02:56:51Z","","[]","organizations/1074990256431","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/analitica-de-conversaciones","[]","[]","","us-central1","{lab:av-laboratorio-arq}","[]","null"
